"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 12:03:35.021","0ckepZoBKNps3ga0R_qw","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8s","req-8s","657.187","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:35.021","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:34.725","0skepZoBKNps3ga0R_qw","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8r","req-8r","1,361.013","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:34.725","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:34.364","zMkepZoBKNps3ga0P_rb","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8s","req-8s","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:34.364","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:34.155","zckepZoBKNps3ga0P_rb","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8q","req-8q","792.588","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:34.155","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:33.364","zskepZoBKNps3ga0P_rb","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8r","req-8r","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:33.364","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:33.363","z8kepZoBKNps3ga0P_rb","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8q","req-8q","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:33.363","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:32.882","0MkepZoBKNps3ga0P_rb","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8p","req-8p","684.489","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:32.881","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:32.197",yMkepZoBKNps3ga0OPoC,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8p","req-8p","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:32.197","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:32.195",yckepZoBKNps3ga0OPoC,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8o","req-8o","662.471","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:32.195","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:31.533",yskepZoBKNps3ga0OPoC,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8o","req-8o","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:31.533","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:31.531",y8kepZoBKNps3ga0OPoC,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8n","req-8n","1,164.272","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:31.531","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:30.367",xMkepZoBKNps3ga0MPoq,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8n","req-8n","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:30.367","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:29.867",xckepZoBKNps3ga0MPoq,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8m","req-8m","673.664","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:29.866","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:29.193",xskepZoBKNps3ga0MPoq,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8m","req-8m","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:29.193","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:29.191",x8kepZoBKNps3ga0MPoq,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8l","req-8l","932.512","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:29.191","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
