"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.environment","metadata.environment.keyword","metadata.host","metadata.host.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.port","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 11:48:34.244","4ckQpZoBKNps3ga0g_b-","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2v","req-2v","1,894.922","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:48:34.244","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:32.349",4MkQpZoBKNps3ga0fPYh,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2v","req-2v","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:48:32.349","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:22.257",38kQpZoBKNps3ga0VPa0,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2u","req-2u","3,907.627","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:48:22.256","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:18.350",3skQpZoBKNps3ga0RfZ2,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2u","req-2u","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:48:18.349","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:07.546",3ckQpZoBKNps3ga0HvaJ,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2t","req-2t","1,197.691","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:48:07.546","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:06.349",28kQpZoBKNps3ga0Fvax,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2t","req-2t","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:48:06.348","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:05.036",3MkQpZoBKNps3ga0Fvax,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2s","req-2s","1,164.112","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:48:05.036","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:03.872",2ckQpZoBKNps3ga0DvbY,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2s","req-2s","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:48:03.871","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:03.869",2skQpZoBKNps3ga0DvbY,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2r","req-2r","1,865.123","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:48:03.869","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:02.004",18kQpZoBKNps3ga0Bvb6,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2r","req-2r","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:48:02.003","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:48:02.000",2MkQpZoBKNps3ga0Bvb6,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2q","req-2q","1,650.256","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:48:01.999","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
